                                                             External penalty method                                                             
    c_x        c_y        H(c)        r      dir     c_x        c_y         f(c)         n_x         n_y         f(n)         hx          hy      
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0823e-01  9.2248e-01   3.8021e+01 -6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   x -3.0823e-01 9.2248e-01   3.8021e+01 -3.7073e-01  9.2248e-01   4.1705e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0823e-01  8.5998e-01   4.4700e+01 -3.1249e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0823e-01  9.8498e-01   3.6414e+01        -//-  6.2498e-02 
       -//-       -//-       -//-       -//-   y -3.0823e-01 9.8498e-01   3.6414e+01 -3.0823e-01  1.0475e+00   4.0777e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.3948e-01  9.8498e-01   3.7234e+01        -//-  3.1249e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.7698e-01  9.8498e-01   3.6980e+01  3.1249e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0823e-01  1.0162e+00   3.7790e+01  1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0823e-01  9.5373e-01   3.6529e+01        -//- -3.1249e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.9261e-01  9.8498e-01   3.6523e+01        -//- -1.5624e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.2385e-01  9.8498e-01   3.6651e+01 -1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0823e-01  9.6936e-01   3.6292e+01 -7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y -3.0823e-01 9.6936e-01   3.6292e+01 -3.0823e-01  9.5373e-01   3.6529e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.1604e-01  9.6936e-01   3.6393e+01        -//- -7.8122e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0042e-01  9.6936e-01   3.6277e+01  7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   x -3.0042e-01 9.6936e-01   3.6277e+01 -2.9261e-01  9.6936e-01   3.6348e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0042e-01  9.6154e-01   3.6338e+01  3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0042e-01  9.7717e-01   3.6305e+01        -//-  7.8122e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.9651e-01  9.6936e-01   3.6302e+01        -//-  3.9061e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0432e-01  9.6936e-01   3.6274e+01 -3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   x -3.0432e-01 9.6936e-01   3.6274e+01 -3.0823e-01  9.6936e-01   3.6292e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0432e-01  9.7326e-01   3.6273e+01 -1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y -3.0432e-01 9.7326e-01   3.6273e+01 -3.0432e-01  9.7717e-01   3.6296e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0628e-01  9.7326e-01   3.6278e+01        -//-  1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0237e-01  9.7326e-01   3.6274e+01  1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0432e-01  9.7521e-01   3.6282e+01  9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0432e-01  9.7131e-01   3.6271e+01        -//- -1.9530e-03 
       -//-       -//-       -//-       -//-   y -3.0432e-01 9.7131e-01   3.6271e+01 -3.0432e-01  9.6936e-01   3.6274e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0335e-01  9.7131e-01   3.6270e+01        -//- -9.7651e-04 
       -//-       -//-       -//-       -//-   x -3.0335e-01 9.7131e-01   3.6270e+01 -3.0237e-01  9.7131e-01   3.6271e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0335e-01  9.7033e-01 d+9.8296e-05  4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0335e-01  9.7229e-01 d+1.5879e-04        -//-  9.7651e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0286e-01  9.7131e-01   3.6270e+01        -//-  4.8825e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0384e-01  9.7131e-01 d+1.4318e-04 -4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0335e-01  9.7180e-01 d-2.3473e-05 -2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0335e-01  9.7082e-01 d-7.8956e-05        -//- -4.8825e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0359e-01  9.7131e-01 d-5.8795e-05        -//- -2.4412e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0310e-01  9.7131e-01 d-7.1592e-05  2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0335e-01  9.7106e-01 d+1.8244e-05  1.2206e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0335e-01  9.7155e-01 d+3.9423e-05        -//-  2.4412e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0323e-01  9.7131e-01 d-7.1126e-05        -//-  1.2206e-04 
       -//-       -//-       -//-       -//-   x -3.0323e-01 9.7131e-01 d-7.4458e-06 -3.0310e-01  9.7131e-01 d+1.3460e-05        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0323e-01  9.7143e-01 d+1.0604e-05  6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0323e-01  9.7119e-01 d-2.6143e-05        -//- -1.2206e-04 
       -//-       -//-       -//-       -//-   y -3.0323e-01 9.7119e-01 d-2.0790e-06 -3.0323e-01  9.7106e-01 d+1.9899e-05        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0316e-01  9.7119e-01 d-1.7392e-05        -//- -6.1031e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0329e-01  9.7119e-01 d+2.1328e-07 -6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0323e-01  9.7113e-01 d+4.4830e-06 -3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0323e-01  9.7125e-01 d-8.9106e-06        -//-  6.1031e-05 
       -//-       -//-       -//-       -//-   y -3.0323e-01 9.7125e-01 d-1.7081e-06 -3.0323e-01  9.7131e-01 d+3.7871e-06        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0326e-01  9.7125e-01 d-3.4830e-06        -//-  3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0319e-01  9.7125e-01 d+6.9835e-07  3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0323e-01  9.7128e-01 d+2.0417e-07  1.5257e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0323e-01  9.7122e-01 d-1.0394e-06        -//- -3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0321e-01  9.7125e-01 d+1.7068e-07        -//- -1.5257e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.0324e-01  9.7125e-01 d-3.4917e-07 -1.5257e-05        -//- 
       -//-       -//-       -//-       -//-   x -3.0324e-01 9.7125e-01 d-1.1276e-08 -3.0326e-01  9.7125e-01 d+3.1534e-07        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0324e-01  9.7123e-01 d-3.5314e-07 -7.6287e-06        -//- 
       -//-       -//-       -//-       -//-   y -3.0324e-01 9.7123e-01 d-3.7803e-08 -3.0324e-01  9.7122e-01 d+3.0563e-07        -//-        -//- 
-3.0324e-01 9.7123e-01 3.0863e+00 1.0000e+02   -           -          -            -           -           -            -           -           - 
       -//-       -//-       -//-       -//-   x -3.0324e-01 9.7123e-01   3.1404e+02 -3.0324e-01  9.7123e-01   3.1404e+02  2.0000e+00  2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.6968e+00  9.7123e-01   6.3275e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.3032e+00  9.7123e-01   1.6326e+04 -2.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0324e-01  2.9712e+00   1.1294e+04 -1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0324e-01 -1.0288e+00   9.8055e+03        -//- -2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.3032e+00  9.7123e-01   3.4673e+03        -//- -1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  6.9675e-01  9.7123e-01   9.8112e+02  1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0324e-01 -2.8762e-02   2.4249e+03  5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.0324e-01  1.9712e+00   1.6349e+03        -//-  1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.9675e-01  9.7123e-01   2.7442e+02        -//-  5.0000e-01 
       -//-       -//-       -//-       -//-   x  1.9675e-01 9.7123e-01   2.7442e+02  6.9675e-01  9.7123e-01   9.8111e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.9675e-01  1.4712e+00   6.6684e+02  2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.9675e-01  4.7124e-01   5.9951e+02        -//- -5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  4.4675e-01  9.7123e-01   5.2447e+02        -//- -2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -5.3242e-02  9.7123e-01   2.0436e+02 -2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   x -5.3242e-02 9.7123e-01   2.0436e+02 -3.0324e-01  9.7123e-01   3.1404e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.3242e-02  7.2124e-01   3.7161e+02 -1.2500e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.3242e-02  1.2212e+00   2.0995e+02        -//-  2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.7824e-01  9.7123e-01   2.3572e+02        -//-  1.2500e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  7.1756e-02  9.7123e-01   2.1752e+02  1.2500e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.3242e-02  1.0962e+00   1.8384e+02  6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   y -5.3242e-02 1.0962e+00   1.8384e+02 -5.3242e-02  1.2212e+00   2.0995e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  9.2567e-03  1.0962e+00   1.9520e+02        -//-  6.2498e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.1574e-01  1.0962e+00   1.8391e+02 -6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.3242e-02  1.1587e+00   1.9076e+02 -3.1249e-02        -//- 
